"arms";"jacc_quantile";"turn_quantile";"nest_quantile";"bray_quantile";"nest";"nest_numeric"
"345";"CINA2A";"12.5%";"20%";"75%";"65%";"75%";31
"346";"CINA2A";"27.5%";"37.5%";"47.5%";"60%";"47.5%";20
"347";"CINA2A";"65%";"75%";"30%";"2.5%";"30%";13
"348";"CINA2A";"0%";"0%";"95%";"0%";"95%";39
"349";"CINA2A";"5%";"12.5%";"50%";"0%";"50%";21
"350";"CINA2A";"40%";"32.5%";"77.5%";"20%";"77.5%";32
"351";"CINA2A";"12.5%";"32.5%";"0%";"7.5%";"0%";1
"352";"CINA2A";"2.5%";"2.5%";"57.5%";"20%";"57.5%";24
"353";"CINA2A";"7.5%";"12.5%";"67.5%";"10%";"67.5%";28
"354";"CINA2A";"30%";"52.5%";"0%";"2.5%";"0%";1
"355";"CINA2A";"27.5%";"20%";"80%";"2.5%";"80%";33
"356";"CINA2A";"27.5%";"5%";"100%";"20%";"100%";41
"357";"CINA2A";"5%";"5%";"82.5%";"10%";"82.5%";34
"358";"CINA2A";"2.5%";"0%";"100%";"7.5%";"100%";41
"359";"CINA2A";"5%";"0%";"100%";"12.5%";"100%";41
"360";"CINA2A";"17.5%";"20%";"75%";"5%";"75%";31
"361";"CINA2A";"27.5%";"25%";"75%";"12.5%";"75%";31
"362";"CINA2A";"17.5%";"32.5%";"45%";"20%";"45%";19
"363";"CINA2A";"17.5%";"32.5%";"45%";"7.5%";"45%";19
"364";"CINA2A";"30%";"40%";"45%";"10%";"45%";19
"365";"CINA2A";"2.5%";"2.5%";"57.5%";"7.5%";"57.5%";24
"366";"CINA2A";"40%";"52.5%";"35%";"2.5%";"35%";15
"367";"CINA2A";"40%";"32.5%";"77.5%";"57.5%";"77.5%";32
"368";"CINA2A";"17.5%";"12.5%";"85%";"5%";"85%";35
"369";"CINA2A";"27.5%";"25%";"75%";"52.5%";"75%";31
"370";"CINA2A";"40%";"32.5%";"77.5%";"45%";"77.5%";32
"371";"CINA2A";"95%";"80%";"62.5%";"10%";"62.5%";26
"372";"CINA2A";"30%";"52.5%";"0%";"20%";"0%";1
"373";"CINA2A";"5%";"12.5%";"50%";"2.5%";"50%";21
"374";"CINA2A";"27.5%";"32.5%";"62.5%";"45%";"62.5%";26
"375";"CINA2A";"30%";"52.5%";"0%";"47.5%";"0%";1
"376";"CINA2A";"17.5%";"32.5%";"45%";"20%";"45%";19
"377";"CINA2A";"5%";"2.5%";"77.5%";"2.5%";"77.5%";32
"378";"CINA2A";"12.5%";"32.5%";"0%";"12.5%";"0%";1
"379";"CINA2A";"17.5%";"25%";"45%";"57.5%";"45%";19
"380";"CINA2A";"2.5%";"2.5%";"57.5%";"2.5%";"57.5%";24
"381";"CINA2A";"17.5%";"32.5%";"45%";"45%";"45%";19
"382";"CINA2A";"27.5%";"32.5%";"62.5%";"35%";"62.5%";26
