"latitude","longitude","abc","station","prefixe","arms_name","arms_number","b_m_t","o_c","plate_number","Orientation","arms_campaign","image_name","arms","immersion_season","recovery_season","imm_time"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"B","F",2,"D","CINARMS","CINARMS3_2D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"B","O",2,"U","CINARMS","CINARMS3_2U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"B","O",3,"D","CINARMS","CINARMS3_3D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"M","F",3,"U","CINARMS","CINARMS3_3U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"M","F",4,"D","CINARMS","CINARMS3_4D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"M","O",4,"U","CINARMS","CINARMS3_4U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"M","O",5,"D","CINARMS","CINARMS3_5D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"M","F",5,"U","CINARMS","CINARMS3_5U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"M","F",6,"D","CINARMS","CINARMS3_6D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"M","O",6,"U","CINARMS","CINARMS3_6U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"M","O",7,"D","CINARMS","CINARMS3_7D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"H","F",7,"U","CINARMS","CINARMS3_7U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"H","F",8,"D","CINARMS","CINARMS3_8D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"H","O",8,"U","CINARMS","CINARMS3_8U.jpg","CINA1","imm_hot","rec_cold","6m"
